# source: N73 = Norlen, G., 1973, Phys. Scr., 8, 249
  wave_air     wn     int element ion source intlev
---------- ---------- --- ------- --- ------ ------
 4070.7835 24558.3610   8      Ar  II    N73
 4072.0047 24550.9962  22      Ar  II    N73
 4072.3849 24548.7039  19      Ar  II    N73
 4076.6284 24523.1509  16      Ar  II    N73
 4076.9432 24521.2573  14      Ar  II    N73
 4079.5738 24505.4461  17      Ar  II    N73
 4082.3872 24488.5582  16      Ar  II    N73
 4103.9121 24360.1190  21      Ar  II    N73    2
 4116.3753 24286.3650   8      Ar  II    N73
 4128.6400 24214.2204  12      Ar  II    N73
 4131.7235 24196.1497  23      Ar  II    N73    1
 4156.0860 24054.3178  17      Ar  II    N73
 4158.5905 24039.8311  24      Ar   I    N73    1
 4164.1795 24007.5663  18      Ar   I    N73    3
 4178.3658 23926.0581  10      Ar  II    N73
 4181.8836 23905.9322  18      Ar   I    N73
 4190.7129 23855.5664  20      Ar   I    N73
 4191.0294 23853.7649  18      Ar   I    N73
 4198.3170 23812.3590  22      Ar   I    N73
 4199.8891 23803.4457   8      Ar  II    N73
 4200.6745 23798.9956  24      Ar   I    N73    1
 4201.9715 23791.6495  14      Ar  II    N73
 4217.4308 23704.4416  14      Ar  II    N73
 4218.6649 23697.5073  16      Ar  II    N73
 4222.6373 23675.2143  16      Ar  II    N73
 4226.9876 23650.8491  16      Ar  II    N73
 4228.1580 23644.3021  20      Ar  II    N73
 4237.2198 23593.7373  20      Ar  II    N73    3
 4251.1846 23516.2350  16      Ar   I    N73
 4259.3619 23471.0890  22      Ar   I    N73    3
 4266.2864 23432.9937  20      Ar   I    N73
 4266.5271 23431.6720  19      Ar  II    N73
 4272.1689 23400.7289  21      Ar   I    N73
 4275.1596 23384.3590  14      Ar  II    N73
 4277.5282 23371.4106  25      Ar  II    N73    1
 4282.8976 23342.1109  15      Ar  II    N73
 4300.1008 23248.7289  20      Ar   I    N73    3
 4300.6495 23245.7624  16      Ar  II    N73
 4309.2392 23199.4275  19      Ar  II    N73
 4331.1995 23081.8020  22      Ar  II    N73    3
 4332.0297 23077.3787  18      Ar  II    N73
 4333.5612 23069.2236  20      Ar   I    N73    3
 4335.3379 23059.7693  18      Ar   I    N73
 4337.0708 23050.5559  14      Ar  II    N73
 4345.1680 23007.6019  16      Ar   I    N73    4
 4348.0640 22992.2783  25      Ar  II    N73    1
 4352.2049 22970.4028  18      Ar  II    N73    4
 4362.0662 22918.4744  16      Ar  II    N73    4
 4363.7945 22909.3975   9      Ar   I    N73
 4367.8316 22888.2234  18      Ar  II    N73    4
 4370.7532 22872.9244  22      Ar  II    N73
 4371.3290 22869.9116  19      Ar  II    N73
 4372.4900 22863.8390  10      Ar  II    N73
 4375.9542 22845.7392  18      Ar  II    N73
 4379.6668 22826.3735  21      Ar  II    N73    3
 4385.0566 22798.3176  18      Ar  II    N73
 4400.0968 22720.3909  19      Ar  II    N73
 4400.9863 22715.7984  22      Ar  II    N73    3
 4404.9022 22695.6050  11      Ar  II    N73
 4426.0011 22587.4159  24      Ar  II    N73    2
 4430.1890 22566.0646  21      Ar  II    N73    3
 4430.9963 22561.9530  18      Ar  II    N73
 4433.8380 22547.4931  18      Ar  II    N73    4
 4439.4614 22518.9328  15      Ar  II    N73    4
 4439.8793 22516.8137  17      Ar  II    N73
 4448.8792 22471.2636  17      Ar  II    N73
 4449.5206 22468.0240   8      Ar  II    N73
 4460.5574 22412.4323  12      Ar  II    N73
 4474.7594 22341.3013  20      Ar  II    N73    3
 4481.8107 22306.1519  22      Ar  II    N73    3
 4490.9816 22260.6018  14      Ar  II    N73
 4498.5384 22223.2085  13      Ar  II    N73    4
 4502.9268 22201.5508  14      Ar  II    N73    4
 4507.8339 22177.3830   4      Ar  II    N73
 4510.7332 22163.1286  20      Ar   I    N73    3
 4522.3230 22106.3301  15      Ar   I    N73    4
 4530.5523 22066.1769  15      Ar  II    N73    4
 4535.4903 22042.1524  12      Ar  II    N73
 4537.6426 22031.6980  11      Ar  II    N73
 4543.8692 22001.5077   9      Ar  II    N73
 4545.0519 21995.7826  24      Ar  II    N73    2
 4547.7589 21982.6899  13      Ar  II    N73
 4564.4054 21902.5200  15      Ar  II    N73
 4579.3495 21831.0451  24      Ar  II    N73    3
 4589.8978 21780.8745  24      Ar  II    N73    2
