# units Angstroms
  wave_air     wn          int     kl    Jl   ku     Ju  note element ion source 
 4030.8424 24801.7013  187.007    2869  3    27670  3    71.3      Th   I   PE83
 4032.4531 24791.7948   17.792    7502  3    32294  4    73.1      Th   I   PE83
 4032.5952 24790.9218   23.190    8800  4    33591  3    73.7      Th   I   PE83
 4034.2461 24780.7765    5.426    6213  4.5  30994  3.5  71.9      Th  II   PE83
 4034.9218 24776.6267    2.901    4146  3.5  28923  2.5  71.4      Th  II   PE83
 4036.0479 24769.7142  232.951       0  2    24769  3    70.8      Th   I   PE83
 4036.5652 24766.5399   24.657    1859  1.5  26626  0.5  70.7      Th  II   PE83
 4037.5614 24760.4291    7.487   11601  1    36361  1    71.4      Th   I   PE83
 4038.2287 24756.3378   10.360   32551  3     7795  4    70.8      Th   I   PE83
 4039.8648 24746.3118   12.625   38953  5    14206  4    70.5      Th   I   PE83
 4040.3931 24743.0761    1.941    6213  4.5  30956  4.5  73.4      Th  II   PE83
 4040.9156 24739.8774    5.638                           70.8      Th       PE83
 4041.2036 24738.1141    9.655   10855  3.5  35593  4.5  71.7      Th  II   PE83
 4043.1303 24726.3259    6.253    1859  1.5  26586  1.5  72.4      Th  II   PE83
 4043.3948 24724.7082   69.874    4961  4    29686  3    70.8      Th   I   PE83
 4044.9269 24715.3435    5.085   37890  5    13175  4    70.9      Th   I   PE83
 4045.2268 24713.5112    3.306    6362  2    31075  2    70.3      Th   I   PE83
 4048.0318 24696.3867     .621   38165  3.5  13468  4.5  74.4      Th  II   PE83
 4048.2876 24694.8262   11.570    7502  3    32197  3    70.5      Th   I   PE83
 4048.4324 24693.9428    9.398   36808  3    12114  2    76.3      Th   I   PE83
 4049.5361 24687.2128    2.690    9804  5    34492  4    71.6      Th   I   PE83
 4049.9447 24684.7221   17.751    3687  2    28372  1    71.9      Th   I   PE83
 4050.8872 24678.9791   24.148                           71.0      Th       PE83
 4051.1090 24677.6277    2.867                           71.4      Th       PE83
 4051.4991 24675.2517    4.332   35089  3    10414  4    70.9      Th   I   PE83
 4053.5277 24662.9033   41.458   32458  4     7795  4    71.1      Th   I   PE83
 4054.3018 24658.1947    4.946    7502  3    32160  2    72.9      Th   I   PE83
 4057.3312 24639.7837     .576   37542  1.5  12902  1.5  74.7      Th  II   PE83
 4057.9412 24636.0800    2.465   35877  2    11241  3    71.4      Th   I   PE83
 4059.2529 24628.1194   39.864    6362  2    30990  3    72.7      Th   I   PE83
 4060.0616 24623.2137     .758   35149  2    10526  3    73.8      Th   I   PE83
 4061.6254 24613.7336    1.561   14226  0    38840  1    71.7      Th   I   PE83
 4063.4071 24602.9415   66.355   35799  6    11197  5    71.2      Th   I   PE83
 4063.6920 24601.2164    1.005   39085 11.5  14484  5.5  72.1      Th  II   PE83
 4064.3316 24597.3455   19.602   35794  4    11197  5    73.0      Th   I   PE83
 4065.6188 24589.5580    2.194   35831  3    11241  3    71.7      Th   I   PE83
 4066.8220 24582.2831    2.249   42635  5    18053  4    72.2      Th   I   PE83
 4067.4508 24578.4829   23.294    2869  3    27447  2    71.0      Th   I   PE83
 4067.8760 24575.9138     .525   39366  2.5  14790  3.5  73.3      Th  II   PE83
 4068.4704 24572.3234    1.037   41356  5    16783  4    71.6      Th   I   PE83
 4069.2015 24567.9087   34.381   31259  2.5   6691  1.5  72.3      Th  II   PE83
 4069.4613 24566.3403   22.392    6362  2    30928  1    72.6      Th   I   PE83
 4069.7608 24564.5323    1.079    1859  1.5  26424  2.5  71.9      Th  II   PE83
 4070.2383 24561.6506   13.974       0  2    24561  3    71.3      Th   I   PE83
 4071.7513 24552.5239   19.759   32796  3     8243  2    72.8      Th   I   PE83
 4072.6284 24547.2363    8.379                           73.0      Th       PE83
 4073.8563 24539.8378   11.354    9804  5    34344  4    72.2      Th   I   PE83
 4074.6420 24535.1056     .538   54845  4.5  30310  5.5  76.8      Th  II   PE83
 4075.5030 24529.9224   32.182    2558  0    27087  1    70.9      Th   I   PE83
 4075.9070 24527.4913    4.419   38734  3    14206  4    72.2      Th   I   PE83
 4078.3015 24513.0905    2.281   37688  3    13175  4    71.1      Th   I   PE83
 4078.8751 24509.6434    6.594                           71.2      Th       PE83
 4080.3581 24500.7360   11.416    7280  2    31780  3    70.8      Th   I   PE83
 4080.7058 24498.6481   34.502   32293  5     7795  4    70.2      Th   I   PE83
 4081.3678 24494.6747   22.924    8800  4    33294  3    72.8      Th   I   PE83
 4081.5914 24493.3325    2.802   38700  4    14206  4    72.3      Th   I   PE83
 4082.0817 24490.3906    6.375                           71.6      Th       PE83
 4083.4688 24482.0720   26.278    3865  1    28347  2    72.2      Th   I   PE83
 4084.6192 24475.1769    3.338                           71.8      Th       PE83
 4085.0422 24472.6429   30.149   34661  5.5  10189  5.5  71.6      Th  II   PE83
 4085.2564 24471.3594    9.228   38953  5    14481  6    70.5      Th   I   PE83
 4085.4341 24470.2950   26.263    8800  4    33270  4    70.8      Th   I   PE83
 4086.5205 24463.7898   74.363       0  1.5  24463  2.5  73.0      Th  II   PE83
 4087.2848 24459.2154   14.565   34873  4    10414  4    71.7      Th   I   PE83
 4088.7265 24450.5913   16.067    6362  2    30812  2    72.2      Th   I   PE83
 4089.1379 24448.1311   21.407    2869  3    27317  3    72.2      Th   I   PE83
 4091.3476 24434.9271    3.619   34849  5    10414  4    80.5      Th   I   PE83
 4091.7368 24432.6031    1.740    7280  2    31712  1    71.6      Th   I   PE83
 4093.3921 24422.7231    2.843   31754  2.5   7331  2.5  73.5      Th  II   PE83
 4093.6714 24421.0571    6.736       0  2    24421  3    71.2      Th   I   PE83
 4094.7471 24414.6418   77.338       0  1.5  24414  1.5  72.7      Th  II   PE83
 4096.0760 24406.7210   16.370   32201  5     7795  4    70.9      Th   I   PE83
 4097.7473 24396.7664   64.014    2869  3    27266  4    71.8      Th   I   PE83
 4098.7317 24390.9075    8.193    2869  3    27260  3    71.1      Th   I   PE83
 4098.9328 24389.7109    7.983    8460  1.5  32850  2.5  72.1      Th  II   PE83
 4100.3414 24381.3322  137.210       0  2    24381  2    70.9      Th   I   PE83
 4102.6178 24367.8042   15.932    7502  3    31870  2    70.5      Th   I   PE83
 4102.8200 24366.6034    2.085   35149  2    10783  2    71.6      Th   I   PE83
 4103.2627 24363.9744     .710   46378  6.5  22014  5.5  74.8      Th  II   PE83
 4104.3821 24357.3293    5.570   32736  3.5   8378  3.5  73.2      Th  II   PE83
 4104.8386 24354.6210    7.152                           72.3      Th       PE83
 4105.3302 24351.7048    6.406    7001  1.5  31353  1.5  73.4      Th  II   PE83
 4105.9150 24348.2361    4.188   35021  1.5  10673  2.5  73.1      Th  II   PE83
 4107.0506 24341.5040    9.170                           72.2      Th       PE83
 4107.8615 24336.6994    7.269    3687  2    28024  1    72.8      Th   I   PE83
 4108.4199 24333.3917   48.023   28823  2.5   4490  2.5  72.8      Th  II   PE83
 4109.3234 24328.0414   22.139    8111  4    32439  4    70.8      Th   I   PE83
 4110.8260 24319.1492   18.910    7280  2    31599  2    71.3      Th   I   PE83
 4112.7545 24307.7460  166.768       0  2    24307  2    70.4      Th   I   PE83
 4113.5575 24303.0009     .922   48612  6.5  24309  5.5  76.8      Th  II   PE83
 4115.7590 24290.0019   46.072    5563  1    29853  2    73.2      Th   I   PE83
 4116.7137 24284.3688   66.486   30452  4.5   6168  3.5  72.3      Th  II   PE83
 4118.4893 24273.8992    5.383   13297  4    37571  5    73.3      Th   I   PE83
 4124.0403 24241.2268    5.691   13847  2    38088  2    70.8      Th   I   PE83
 4127.4120 24221.4248   34.356                           71.8      Th       PE83
 4128.0499 24217.6818    4.930   32012  4     7795  4    72.2      Th   I   PE83
 4129.5117 24209.1095    7.452                           71.5      Th       PE83
 4130.3248 24204.3437    5.475                           72.9      Th       PE83
 4131.0021 24200.3751   59.035   31995  4     7795  4    70.5      Th   I   PE83
 4131.4266 24197.8888    5.806   32576  3.5   8378  3.5  72.3      Th  II   PE83
 4132.7534 24190.1204   22.061    9711  3.5  33902  3.5  71.4      Th  II   PE83
 4134.0681 24182.4275   36.951       0  2    24182  2    71.1      Th   I   PE83
 4134.3235 24180.9334    5.892   14204  5    38385  5    71.9      Th   I   PE83
 4135.4800 24174.1714    9.015    8111  4    32285  3    72.4      Th   I   PE83
 4138.0406 24159.2128    6.972    3865  1    28024  1    71.0      Th   I   PE83
 4140.2350 24146.4081   15.434   33384  4.5   9238  4.5  71.7      Th  II   PE83
 4140.3855 24145.5304    4.967   33730  2.5   9585  2.5  71.0      Th  II   PE83
 4141.6322 24138.2628    2.213   41909  4.5  17771  5.5  72.3      Th  II   PE83
 4142.4741 24133.3567    7.434   38617  4.5  14484  5.5  73.2      Th  II   PE83
 4142.7010 24132.0352   35.050       0  1.5  24132  1.5  70.9      Th  II   PE83
 4143.6491 24126.5135    9.578    2869  3    26995  3    70.1      Th   I   PE83
 4147.5396 24103.8828    3.136   35300  5    11197  5    70.9      Th   I   PE83
 4148.1816 24100.1524    9.291    7828  0.5  31928  1.5  72.7      Th  II   PE83
 4148.7270 24096.9844    4.538    7502  3    31599  2    71.2      Th   I   PE83
 4151.1453 24082.9466    2.143   11802  2    35885  2    70.9      Th   I   PE83
 4154.7205 24062.2231    6.684    8800  4    32862  4    73.9      Th   I   PE83
 4156.2383 24053.4364    4.270   34726  3.5  10673  2.5  71.6      Th  II   PE83
 4156.5166 24051.8258   12.880   33637  3.5   9585  2.5  74.5      Th  II   PE83
 4157.2804 24047.4068   10.560                           71.7      Th       PE83
 4159.1537 24036.5759    2.814   37211  5    13175  4    71.4      Th   I   PE83
 4159.6599 24033.6509    3.608   38517  6.5  14484  5.5  73.8      Th  II   PE83
 4161.7389 24021.6453    6.717    7502  3    31523  3    73.3      Th   I   PE83
 4162.5090 24017.2008   16.028   34431  3    10414  4    72.9      Th   I   PE83
 4163.6470 24010.6371    6.854   33730  2.5   9720  3.5  72.0      Th  II   PE83
 4163.9479 24008.9018    2.284    2869  3    26878  3    72.8      Th   I   PE83
 4164.2551 24007.1309    4.399   33209  3.5   9202  3.5  73.4      Th  II   PE83
 4164.9735 24002.9899    2.123    7280  2    31283  3    72.7      Th   I   PE83
 4165.7662 23998.4226   63.735   31793  4     7795  4    71.2      Th   I   PE83
 4168.0465 23985.2936    3.389                           73.0      Th       PE83
 4168.6341 23981.9124    7.425   34553  4.5  10572  4.5  73.6      Th  II   PE83
 4169.0852 23979.3179    1.039   31774  3     7795  4    71.9      Th   I   PE83
 4170.5333 23970.9918   75.059    4961  4    28932  4    71.4      Th   I   PE83
 4170.7857 23969.5414    1.915   37787  3.5  13818  3.5  75.1      Th  II   PE83
 4171.3410 23966.3502    2.468                           74.5      Th       PE83
 4172.6257 23958.9714    1.867                           72.1      Th       PE83
 4173.4475 23954.2536    4.209    8800  4    32754  3    81.8      Th   I   PE83
 4174.4396 23948.5609     .368                           79.8      Th       PE83
 4178.0598 23927.8106   23.530   31259  2.5   7331  2.5  73.3      Th  II   PE83
 4178.8481 23923.2968    9.724    4961  4    28884  3    72.1      Th   I   PE83
 4179.9601 23916.9324    8.999   33637  3.5   9720  3.5  71.7      Th  II   PE83
 4180.3272 23914.8321    2.540   12847  3    36762  3    72.3      Th   I   PE83
 4180.7211 23912.5793    1.787    8111  4    32023  5    73.4      Th   I   PE83
 4182.9342 23899.9276    2.624   38106  5    14206  4    70.3      Th   I   PE83
 4183.5645 23896.3271    1.508    9061  2.5  32957  3.5  72.1      Th  II   PE83
 4184.1376 23893.0540    5.896    6362  2    30255  3    70.9      Th   I   PE83
 4184.6045 23890.3881    3.717                           71.3      Th       PE83
 4185.1447 23887.3045    3.727   34301  4    10414  4    70.4      Th   I   PE83
 4185.4693 23885.4518    2.876                           70.8      Th       PE83
 4187.1410 23875.9160    3.517   11802  2    35678  1    70.3      Th   I   PE83
 4191.8270 23849.2262    1.699   35425  0.5  11576  1.5  72.1      Th  II   PE83
 4192.3620 23846.1825    8.362    6362  2    30208  2    73.0      Th   I   PE83
 4193.0164 23842.4610   28.660    8111  4    31953  4    70.7      Th   I   PE83
 4194.0826 23836.3999     .432   16818  3.5  40654  2.5  73.1      Th  II   PE83
 4194.9361 23831.5503   22.614   31626  5     7795  4    70.9      Th   I   PE83
 4195.8326 23826.4585    2.351   38372  1.5  14545  2.5  73.2      Th  II   PE83
 4203.5762 23782.5673    2.747    2869  3    26651  2    72.4      Th   I   PE83
 4204.0413 23779.9365    8.708   38261  5    14481  6    70.7      Th   I   PE83
 4207.6122 23759.7553    1.321    3687  2    27447  2    71.9      Th   I   PE83
 4208.4109 23755.2464    7.362    9804  5    33560  4    71.7      Th   I   PE83
 4208.8907 23752.5383   48.170   30452  4.5   6700  4.5  73.7      Th  II   PE83
 4209.1964 23750.8129    4.344                           71.0      Th       PE83
 4209.9727 23746.4335   10.592   34943  6    11197  5    70.2      Th   I   PE83
 4210.4555 23743.7110    3.655   13297  4    37041  4    71.4      Th   I   PE83
 4210.9232 23741.0736  171.993       0  2    23741  1    71.0      Th   I   PE83
 4213.0673 23728.9917   20.673    2558  0    26287  1    70.4      Th   I   PE83
 4213.3779 23727.2426    6.266                           71.8      Th       PE83
 4214.8285 23719.0765   17.564    4961  4    28680  4    72.4      Th   I   PE83
 4215.6273 23714.5824    1.935    4961  4    28676  3    72.1      Th   I   PE83
 4216.0698 23712.0933    7.176   13088  3    36800  4    70.6      Th   I   PE83
 4216.3722 23710.3926    6.000    7280  2    30990  3    73.1      Th   I   PE83
 4220.0651 23689.6445    9.402    5563  1    29252  2    71.2      Th   I   PE83
 4220.7324 23685.8995    4.497   31929  3     8243  2    71.1      Th   I   PE83
 4221.1531 23683.5389    2.165   37890  5    14206  4    75.0      Th   I   PE83
 4221.6921 23680.5149    1.929   38145  3    14465  2    71.0      Th   I   PE83
 4223.4403 23670.7130   10.178   31914  1     8243  2    72.4      Th   I   PE83
 4224.2413 23666.2246    4.387    1521  2.5  25188  1.5  72.5      Th  II   PE83
 4224.6151 23664.1307    1.163   33384  4.5   9720  3.5  73.1      Th  II   PE83
 4226.2994 23654.7002    5.116    6362  2    30017  3    71.3      Th   I   PE83
 4226.7268 23652.3084  419.484                          111.8      Ca   I   PE83
 4227.3872 23648.6134   18.833    7280  2    30928  1    70.3      Th   I   PE83
 4228.4167 23642.8560    2.868                           73.9      Th       PE83
 4229.1477 23638.7691   24.921    2869  3    26508  3    71.8      Th   I   PE83
 4229.4547 23637.0535    3.668   36125  4.5  12488  4.5  70.7      Th  II   PE83
 4229.8645 23634.7636    1.000    5563  1    29197  2    70.8      Th   I   PE83
 4230.4268 23631.6222   20.035   34873  4    11241  3    72.2      Th   I   PE83
 4230.8242 23629.4024    4.000    3687  2    27317  3    71.6      Th   I   PE83
 4233.2874 23615.6536    1.456   39068  3.5  15453  3.5  73.5      Th  II   PE83
 4235.4637 23603.5195   92.609       0  2    23603  2    71.8      Th   I   PE83
 4236.0472 23600.2682    1.194                          109.6      Th       PE83
 4239.7873 23579.4494     .563                           77.7      Th       PE83
 4240.5947 23574.9600    2.947    6213  4.5  29788  4.5  73.6      Th  II   PE83
 4241.0949 23572.1801    5.894    3687  2    27260  3    72.7      Th   I   PE83
 4241.9726 23567.3028    1.278                           73.0      Th       PE83
 4242.7197 23563.1526    1.318    7001  1.5  30564  0.5  73.9      Th  II   PE83
 4243.0196 23561.4876    1.702                           70.2      Th       PE83
 4243.2611 23560.1462    3.638    8111  4    31671  4    73.6      Th   I   PE83
 4243.9241 23556.4659    1.917    9400  2.5  32957  3.5  72.4      Th  II   PE83
 4247.5988 23536.0868    4.358   28026  2.5   4490  2.5  71.2      Th  II   PE83
 4247.9886 23533.9272    6.865   32736  3.5   9202  3.5  76.9      Th  II   PE83
 4248.3909 23531.6990    8.654   31326  4     7795  4    71.1      Th   I   PE83
 4248.7400 23529.7654    1.197                           72.6      Th       PE83
 4249.4762 23525.6891    2.539   11802  2    35328  1    71.0      Th   I   PE83
 4249.6791 23524.5656    2.176    7828  0.5  31353  1.5  72.5      Th  II   PE83
 4250.3147 23521.0482  117.066       0  2    23521  3    70.6      Th   I   PE83
 4250.7750 23518.5011    6.438    4961  4    28480  4    71.1      Th   I   PE83
 4253.5385 23503.2215   19.030   13297  4    36800  4    72.8      Th   I   PE83
 4253.8674 23501.4041    1.364   34174  2.5  10673  2.5  73.3      Th  II   PE83
 4255.2373 23493.8385    8.026                           70.4      Th       PE83
 4255.7972 23490.7476    6.571    6362  2    29853  2    69.8      Th   I   PE83
 4256.2537 23488.2281   37.488    7502  3    30990  3    73.2      Th   I   PE83
 4257.4963 23481.3730   99.259       0  2    23481  1    71.4      Th   I   PE83
 4257.8983 23479.1564    4.412                           71.2      Th       PE83
 4258.5204 23475.7262   18.492   31271  5     7795  4    70.1      Th   I   PE83
 4258.9955 23473.1077    1.141                           71.8      Th       PE83
 4260.3330 23465.7385   21.574    9804  5    33270  4    70.8      Th   I   PE83
 4260.9846 23462.1504    4.263   35576  3    12114  2    70.8      Th   I   PE83
 4261.2754 23460.5491    1.936    1521  2.5  24982  3.5  72.3      Th  II   PE83
 4261.4920 23459.3565    1.914   37404  3    13945  3    81.4      Th   I   PE83
 4261.9665 23456.7449    1.065                           71.9      Th       PE83
 4262.6124 23453.1907    6.585                           71.9      Th       PE83
 4263.3561 23449.0993    3.480    9400  2.5  32850  2.5  70.7      Th  II   PE83
 4264.1065 23444.9732     .984   35021  1.5  11576  1.5  72.3      Th  II   PE83
 4264.3399 23443.6898    2.872    7280  2    30723  1    72.9      Th   I   PE83
 4267.5192 23426.2248    1.294   36328  1.5  12902  1.5  72.7      Th  II   PE83
 4269.0640 23417.7479    1.971   33831  4    10414  4    71.8      Th   I   PE83
 4269.9426 23412.9291    9.796    8111  4    31523  3    71.2      Th   I   PE83
 4270.3290 23410.8106    1.715   38863  2.5  15453  3.5  70.9      Th  II   PE83
 4270.7349 23408.5859    2.099   37890  5    14481  6    72.7      Th   I   PE83
 4271.4397 23404.7237    3.083                           75.1      Th       PE83
 4272.8745 23396.8645   18.249    8800  4    32197  3    72.2      Th   I   PE83
 4273.3575 23394.2203   32.751   31773  4.5   8378  3.5  71.7      Th  II   PE83
 4274.0246 23390.5685    5.332   38740  5.5  15349  5.5  72.4      Th  II   PE83
 4276.8073 23375.3500    9.689   31754  2.5   8378  3.5  71.0      Th  II   PE83
 4277.3139 23372.5812   84.817       0  1.5  23372  1.5  71.2      Th  II   PE83
 4278.3232 23367.0675   24.002   14204  5    37571  5    70.5      Th   I   PE83
 4279.0627 23363.0293    1.621   38529  3    15166  3    73.2      Th   I   PE83
 4280.5681 23354.8136   17.158    5563  1    28917  2    71.9      Th   I   PE83
 4281.0678 23352.0873   11.780    1521  2.5  24873  2.5  72.2      Th  II   PE83
 4281.4145 23350.1964    7.731    8460  1.5  31810  2.5  72.8      Th  II   PE83
 4282.0413 23346.7783   63.472   29515  4.5   6168  3.5  73.7      Th  II   PE83
 4283.5184 23338.7277    6.809   32576  3.5   9238  4.5  73.4      Th  II   PE83
 4284.9749 23330.7948    2.128   39895  4.5  16564  5.5  72.4      Th  II   PE83
 4285.1824 23329.6654    1.122   42146  5.5  18816  6.5  72.7      Th  II   PE83
 4286.2285 23323.9716    7.669    6362  2    29686  3    71.0      Th   I   PE83
 4287.0809 23319.3343    4.580   16554  6    39873  5    71.1      Th   I   PE83
 4288.4695 23311.7837    5.814   13847  2    37159  3    70.5      Th   I   PE83
 4288.6688 23310.7001   16.002    7502  3    30812  2    73.1      Th   I   PE83
 4289.3633 23306.9262    5.079                          112.8      Th       PE83
 4289.6551 23305.3404    6.209   33831  4    10526  3    70.6      Th   I   PE83
 4290.3937 23301.3285    3.913   13847  2    37149  2    73.6      Th   I   PE83
 4291.8099 23293.6400   23.558   31537  3     8243  2    70.1      Th   I   PE83
 4292.3058 23290.9489    1.672   35405  3    12114  2    73.7      Th   I   PE83
 4293.7699 23283.0072    1.050                           73.5      Th       PE83
 4294.7193 23277.8601    4.949    6362  2    29640  1    71.5      Th   I   PE83
 4295.5850 23273.1691    5.118    7280  2    30553  2    71.9      Th   I   PE83
 4295.8155 23271.9202    2.109   35149  2    11877  1    73.6      Th   I   PE83
 4297.3066 23263.8452   24.755   34460  5    11197  5    72.1      Th   I   PE83
 4297.9393 23260.4209    3.267   37742  6    14481  6    70.0      Th   I   PE83
 4298.1224 23259.4298    1.315    7502  3    30761  3    74.4      Th   I   PE83
 4298.9860 23254.7575    3.807                          109.0      Ca   I   PE83
 4299.6352 23251.2463    8.284    2558  0    25809  1    69.9      Th   I   PE83
 4299.8393 23250.1427   31.469   34447  4    11197  5    69.9      Th   I   PE83
 4302.5261 23235.6239   17.498                          109.9      Ca   I   PE83
 4303.3867 23230.9771    1.386                           72.8      Th       PE83
 4303.9893 23227.7250    3.212    2869  3    26096  3    70.9      Th   I   PE83
 4304.4179 23225.4121    2.469                           72.1      Th       PE83
 4304.9565 23222.5061    4.959    3865  1    27087  1    70.4      Th   I   PE83
 4306.3668 23214.9013    4.438   12847  3    36062  4    74.7      Th   I   PE83
 4307.1762 23210.5388   47.076   34407  6    11197  5    72.0      Th   I   PE83
 4307.7406 23207.4976    5.066                          108.1      Th       PE83
 4308.1220 23205.4434   16.999   34447  4    11241  3    71.6      Th   I   PE83
 4308.6002 23202.8680    6.263   34444  2    11241  3    70.8      Th   I   PE83
 4311.7995 23185.6521   17.190   31429  1     8243  2    71.9      Th   I   PE83
 4312.9975 23179.2116  100.709    4961  4    28140  4   125.0      Th   I   PE83
 4313.3085 23177.5408    2.218   29345  2.5   6168  3.5  71.2      Th  II   PE83
 4313.6026 23175.9606    1.914   30971  4     7795  4    72.4      Th   I   PE83
 4314.3196 23172.1091    9.409    8111  4    31283  3    72.9      Th   I   PE83
 4315.2543 23167.0897   43.652    2869  3    26036  3    71.2      Th   I   PE83
 4315.9484 23163.3638     .846   36065  2.5  12902  1.5  76.6      Th  II   PE83
 4316.1094 23162.4998    3.731   33689  2    10526  3    70.7      Th   I   PE83
 4316.3727 23161.0873     .915   36336  3    13175  4    75.0      Th   I   PE83
 4317.8400 23153.2164    1.237    8800  4    31953  4    71.2      Th   I   PE83
 4318.4157 23150.1298   27.394   25381  1.5  48532  0.5  71.8      Th  II   PE83
 4318.6491 23148.8789    6.131                          108.2      Th       PE83
 4319.0974 23146.4764    1.216   38389  3.5  15242  4.5  71.3      Th  II   PE83
 4320.1264 23140.9632   14.399   27631  1.5   4490  2.5  72.2      Th  II   PE83
 4325.2741 23113.4225    9.303   33527  4    10414  4    70.8      Th   I   PE83
 4325.8599 23110.2927    2.961    5563  1    28673  2    73.4      Th   I   PE83
 4327.7146 23100.3888    3.810   13088  3    36188  2    70.9      Th   I   PE83
 4328.6879 23095.1947    1.061   40367  4.5  17272  4.5  73.6      Th  II   PE83
 4328.9154 23093.9809   30.662       0  2    23093  2    70.9      Th   I   PE83
 4330.4120 23085.9998    3.647    5563  1    28649  1    70.0      Th   I   PE83
 4330.8438 23083.6979   21.646    8111  4    31194  4    69.6      Th   I   PE83
 4332.3395 23075.7286    4.330   11802  2    34878  1    70.8      Th   I   PE83
 4333.9370 23067.2232     .907   45095  7.5  22028  7.5  73.1      Th  II   PE83
 4337.2774 23049.4579   48.330       0  2    23049  1    72.9      Th   I   PE83
 4338.1078 23045.0459   11.240   33459  4    10414  4    71.9      Th   I   PE83
 4339.8717 23035.6798    2.836   36210  5    13175  4    72.4      Th   I   PE83
 4340.8954 23030.2472   15.214    8111  4    31141  5    71.0      Th   I   PE83
 4342.4442 23022.0333   47.425   31265  3     8243  2    70.8      Th   I   PE83
 4343.3817 23017.0640    2.707    3865  1    26882  0    70.8      Th   I   PE83
 4343.6035 23015.8887    1.207   32736  3.5   9720  3.5  74.5      Th  II   PE83
 4343.9515 23014.0452    7.186    1859  1.5  24873  2.5  70.4      Th  II   PE83
 4344.3266 23012.0582   20.824       0  1.5  23012  1.5  70.7      Th  II   PE83
 4344.6092 23010.5610    1.181                          116.0      Th       PE83
 4346.4367 23000.8865   26.748    7280  2    30281  1    70.7      Th   I   PE83
 4347.6385 22994.5283    1.559   33408  3    10414  4    71.5      Th   I   PE83
 4348.5982 22989.4536    6.722   13847  2    36837  1    71.5      Th   I   PE83
 4349.0723 22986.9480   26.299    4961  4    27948  4    71.9      Th   I   PE83
 4350.2717 22980.6100    3.048    8800  4    31780  3    73.5      Th   I   PE83
 4351.2720 22975.3275    1.920    7280  2    30255  3    71.8      Th   I   PE83
 4352.6122 22968.2533    6.759    2558  0    25526  1    72.1      Th   I   PE83
 4352.8201 22967.1562    1.052   34543  2.5  11576  1.5  72.8      Th  II   PE83
 4353.4487 22963.8399   25.212    3687  2    26651  2    70.2      Th   I   PE83
 4354.4825 22958.3885    6.436   36133  5    13175  4    71.0      Th   I   PE83
 4355.3205 22953.9710    3.759    8018  1.5  30972  2.5  71.5      Th  II   PE83
 4355.5259 22952.8886    2.951                           73.7      Th       PE83
 4356.0445 22950.1559    2.965    5563  1    28513  2    72.2      Th   I   PE83
 4357.6132 22941.8941    4.166    1521  2.5  24463  2.5  71.5      Th  II   PE83
 4358.3201 22938.1735   16.563   33721  2    10783  2    71.1      Th   I   PE83
 4359.3720 22932.6387   14.882   33459  4    10526  3    72.8      Th   I   PE83
 4360.1673 22928.4558    3.762    7280  2    30208  2    70.2      Th   I   PE83
 4360.7178 22925.5610    1.463   40426  4    17501  5    72.2      Th   I   PE83
 4361.3071 22922.4635    2.280   38165  3.5  15242  4.5  78.4      Th  II   PE83
 4362.4721 22916.3420    2.686    8800  4    31716  5    72.1      Th   I   PE83
 4364.0401 22908.1085    1.131    8111  4    31019  4    70.7      Th   I   PE83
 4365.9301 22898.1918   43.433   31141  3     8243  2    71.7      Th   I   PE83
 4366.9657 22892.7618     .994                          127.0      Th       PE83
 4367.2862 22891.0815    3.295    4961  4    27852  5    71.1      Th   I   PE83
 4367.4181 22890.3906    4.222    6362  2    29252  2    70.9      Th   I   PE83
 4369.8756 22877.5177   21.665       0  2    22877  1    71.5      Th   I   PE83
 4374.1239 22855.2986   89.956       0  2    22855  3    71.7      Th   I   PE83
 4374.7852 22851.8441   14.120    4113  2.5  26965  1.5  71.0      Th  II   PE83
 4376.5309 22842.7290    4.905                           70.9      Th       PE83
 4378.1769 22834.1414   63.363    2869  3    25703  2    69.6      Th   I   PE83
 4380.2863 22823.1450    5.103   33606  2    10783  2    71.0      Th   I   PE83
 4381.4018 22817.3346    9.825    4146  3.5  26963  3.5  71.0      Th  II   PE83
 4381.8601 22814.9482   82.559   29515  4.5   6700  4.5  70.4      Th  II   PE83
 4382.8934 22809.5695    2.065    5563  1    28372  1    76.1      Th   I   PE83
 4384.6560 22800.4001    7.447   33214  5    10414  4    73.1      Th   I   PE83
 4385.7535 22794.6946    1.055    6362  2    29157  1    71.9      Th   I   PE83
 4388.1015 22782.4981    1.504   33309  2    10526  3    70.8      Th   I   PE83
 4388.9680 22778.0000    1.698                           70.7      Th       PE83
 4391.1106 22766.8863   88.738   27257  3.5   4490  2.5  70.7      Th  II   PE83
 4391.3893 22765.4410    2.907   13297  4    36062  4    70.1      Th   I   PE83
 4392.9740 22757.2288   19.336   30552  4     7795  4    71.2      Th   I   PE83
 4393.7590 22753.1632    6.681    7502  3    30255  3    70.9      Th   I   PE83
 4394.8945 22747.2845    2.324    8605  2.5  31353  1.5  71.1      Th  II   PE83
 4396.1394 22740.8432    1.450   17166  5    39906  4    71.8      Th   I   PE83
 4396.4784 22739.0899    3.664    9061  2.5  31800  3.5  74.2      Th  II   PE83
 4397.0097 22736.3420    1.259   39520  4    16783  4    71.5      Th   I   PE83
 4397.9150 22731.6622    6.249   29431  3.5   6700  4.5  71.7      Th  II   PE83
 4399.0939 22725.5703    1.509   43014  6.5  20288  5.5  72.7      Th  II   PE83
