# units Angstroms
  wave_air     wn          int     kl    Jl   ku     Ju  note element ion source 
 3244.4488 30812.9861   33.548       0  2    30812  2    97.7      Th   I   PE83
 3245.7603 30800.5363   13.456    9061  2.5  39861  2.5 105.3      Th  II   PE83
 3251.9159 30742.2353   43.642    3687  2    34430  3   103.7      Th   I   PE83
 3252.9644 30732.3267    7.601                          104.4      Th       PE83
 3253.8659 30723.8122   21.524       0  2    30723  1   105.6      Th   I   PE83
 3254.8099 30714.9020    3.841    7001  1.5  37716  0.5 106.0      Th  II   PE83
 3256.2739 30701.0937   23.574   39939  5.5   9238  4.5 106.0      Th  II   PE83
 3257.3667 30690.7934   39.261    2869  3    33560  4   104.2      Th   I   PE83
 3258.1055 30683.8350    5.335    3687  2    34371  2   104.4      Th   I   PE83
 3258.1220 30683.6794    3.118                          109.8      Th       PE83
 3259.0609 30674.8403   10.041    7280  2    37954  3   103.6      Th   I   PE83
 3259.6165 30669.6121    3.581   42246  0.5  11576  1.5 106.2      Th  II   PE83
 3260.9417 30657.1485    5.434   24381  3.5  55038  4.5 106.8      Th  II   PE83
 3262.6685 30640.9238   22.552   36809  3.5   6168  3.5 105.8      Th  II   PE83
 3265.5779 30613.6257    2.327   37945  2.5   7331  2.5 109.4      Th  II   PE83
 3271.1199 30561.7610    6.099                          105.1      Th       PE83
 3271.8912 30554.5564    6.695    8111  4    38665  5   106.7      Th   I   PE83
 3272.0268 30553.2905   39.869       0  2    30553  2   102.4      Th   I   PE83
 3273.9157 30535.6628    7.553   40724  6.5  10189  5.5 108.2      Th  II   PE83
 3275.0676 30524.9237   10.997   13248  4.5  43773  3.5 106.8      Th  II   PE83
 3276.1712 30514.6417    8.826                          105.2      Th       PE83
 3280.3713 30475.5729    5.554    8018  1.5  38493  2.5 105.6      Th  II   PE83
 3281.0488 30469.2802    4.976    8111  4    38580  4   104.8      Th   I   PE83
 3281.2731 30467.1975    5.710                          104.6      Th       PE83
 3282.6166 30454.7284   15.178                          104.3      Th       PE83
 3282.9796 30451.3612    5.015   45904  4.5  15453  3.5 108.1      Th  II   PE83
 3285.7525 30425.6636   16.235    2869  3    33294  3   103.1      Th   I   PE83
 3286.5829 30417.9761    9.096    8018  1.5  38436  1.5 110.1      Th  II   PE83
 3287.7893 30406.8152   26.199    1521  2.5  31928  1.5 104.0      Th  II   PE83
 3290.5996 30380.8473   37.372   33562  3     3181  2   103.9      Th III   PE83
 3291.7395 30370.3277   32.153    6213  4.5  36583  3.5 104.2      Th  II   PE83
 3292.5210 30363.1192   22.175   37063  4.5   6700  4.5 106.1      Th  II   PE83
 3293.2257 30356.6215    3.482                          109.5      Th       PE83
 3293.6988 30352.2616    2.610   46385  3.5  16033  2.5 107.4      Th  II   PE83
 3293.9481 30349.9647    7.055   39552  4.5   9202  3.5 104.9      Th  II   PE83
 3294.2452 30347.2271    3.136   45800  2.5  15453  3.5 109.2      Th  II   PE83
 3296.6073 30325.4834    4.483   43227  2.5  12902  1.5 107.2      Th  II   PE83
 3297.3748 30318.4250    3.404   40991  1.5  10673  2.5 106.6      Th  II   PE83
